,title,href
212,Speech recognition,/wiki/Speech_recognition
213,Peptide sequence,/wiki/Peptide_sequence
214,Dynamic Bayesian network,/wiki/Dynamic_Bayesian_network
215,Influence diagram,/wiki/Influence_diagram
216,Search algorithm,/wiki/Search_algorithm
217,Heuristic (computer science),/wiki/Heuristic_(computer_science)
218,Natural selection,/wiki/Natural_selection
219,Mutation (genetic algorithm),/wiki/Mutation_(genetic_algorithm)
220,Crossover (genetic algorithm),/wiki/Crossover_(genetic_algorithm)
221,Chromosome (genetic algorithm),/wiki/Chromosome_(genetic_algorithm)
222,Evolutionary algorithm,/wiki/Evolutionary_algorithm
223,Overfitting,/wiki/Overfitting
224,Algorithmic bias,/wiki/Algorithmic_bias
225,Distributed artificial intelligence,/wiki/Distributed_artificial_intelligence
226,Gboard,/wiki/Gboard
227,Google,/wiki/Google
228,Netflix,/wiki/Netflix
229,Netflix Prize,/wiki/Netflix_Prize
230,AT&T Labs,/wiki/AT%26T_Labs
231,Ensemble Averaging,/wiki/Ensemble_Averaging
232,Sun Microsystems,/wiki/Sun_Microsystems
233,Vinod Khosla,/wiki/Vinod_Khosla
234,Springer Nature,/wiki/Springer_Nature
235,Uber,/wiki/Uber
236,Watson (computer),/wiki/Watson_(computer)
237,Chatbot,/wiki/Chatbot
238,Fairness (machine learning),/wiki/Fairness_(machine_learning)
239,Fei-Fei Li,/wiki/Fei-Fei_Li
240,Overfitting,/wiki/Overfitting
241,Wikipedia:Citation needed,/wiki/Wikipedia:Citation_needed
242,Adversarial machine learning,/wiki/Adversarial_machine_learning
243,Backdoor (computing),/wiki/Backdoor_(computing)
244,Algorithmic transparency,/wiki/Algorithmic_transparency
245,White-box testing,/wiki/White-box_testing
246,Test set,/wiki/Test_set
247,Cross-validation (statistics),/wiki/Cross-validation_(statistics)
248,Bootstrapping,/wiki/Bootstrapping
249,Sensitivity and specificity,/wiki/Sensitivity_and_specificity
250,False positive rate,/wiki/False_positive_rate
251,False negative rate,/wiki/False_negative_rate
252,Total operating characteristic,/wiki/Total_operating_characteristic
253,Receiver operating characteristic,/wiki/Receiver_operating_characteristic
254,Machine ethics,/wiki/Machine_ethics
255,Algorithmic bias,/wiki/Algorithmic_bias
256,Data collection,/wiki/Data_collection
257,Text corpus,/wiki/Text_corpus
258,Deep neural network,/wiki/Deep_neural_network
259,GPU,/wiki/GPU
260,OpenAI,/wiki/OpenAI
261,Physical neural network,/wiki/Physical_neural_network
262,Neuromorphic engineering,/wiki/Neuromorphic_engineering
263,Artificial neural network,/wiki/Artificial_neural_network
264,Chemical synapse,/wiki/Chemical_synapse
265,Neurons,/wiki/Neurons
266,Memristor,/wiki/Memristor
267,Embedded systems,/wiki/Embedded_systems
268,Wearable computer,/wiki/Wearable_computer
269,Edge device,/wiki/Edge_device
270,Microcontrollers,/wiki/Microcontrollers
271,Hardware acceleration,/wiki/Hardware_acceleration
272,Approximate computing,/wiki/Approximate_computing
273,Software suite,/wiki/Software_suite
